Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Yersinia pestis strain 95037 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,99290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177903.1?report=genbank&log$=nucltop&blast_rank=83&RID=UZD221E4016"",""CP177903.1"")"
"Yersinia pestis strain 2115 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100989,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP196694.1?report=genbank&log$=nucltop&blast_rank=84&RID=UZD221E4016"",""CP196694.1"")"
"Yersinia pestis strain AKS2022HT87_B plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100691,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP155629.1?report=genbank&log$=nucltop&blast_rank=85&RID=UZD221E4016"",""CP155629.1"")"
"Yersinia pestis strain 15020 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177484.1?report=genbank&log$=nucltop&blast_rank=86&RID=UZD221E4016"",""CP177484.1"")"
"Yersinia pestis strain N010084 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,106663,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177567.1?report=genbank&log$=nucltop&blast_rank=87&RID=UZD221E4016"",""CP177567.1"")"
"Yersinia pestis strain 90028 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100990,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177846.1?report=genbank&log$=nucltop&blast_rank=88&RID=UZD221E4016"",""CP177846.1"")"
"Yersinia pestis strain N010076 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100985,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177434.1?report=genbank&log$=nucltop&blast_rank=89&RID=UZD221E4016"",""CP177434.1"")"
"Yersinia pestis strain 50012 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,101694,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177977.1?report=genbank&log$=nucltop&blast_rank=90&RID=UZD221E4016"",""CP177977.1"")"
"Yersinia pestis strain 70016 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,101698,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177912.1?report=genbank&log$=nucltop&blast_rank=91&RID=UZD221E4016"",""CP177912.1"")"
"Yersinia pestis strain 43005 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100946,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177427.1?report=genbank&log$=nucltop&blast_rank=92&RID=UZD221E4016"",""CP177427.1"")"
